Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Labuhan Batu,2019,15926382.38,236854.88,1394104.12,7742295.42,896827.87,7413964.71,33610429.38
Asahan,2019,20849597.76,459803.69,2248769.49,10483269.1,450781.56,2948184.85,37440406.46
Simalungun,2019,21781725.72,440405.71,2634346.37,9942811.49,353300.83,2904841.66,38057431.78
Dairi,2019,5167959.82,237062.43,1083301.07,2553998.7,190741.12,-66641.89,9166421.25
Karo,2019,11211886.66,362506.67,1912997.82,6574585.92,742160.41,-219411.59,20584725.88
Deli Serdang,2019,64449015.49,588181.96,3980836.89,36270889.53,1084478.91,2960737.17,109334140.0
Langkat,2019,25787227.72,442465.12,3395975.66,9706254.08,724086.91,2459166.94,42515176.42
Nias Selatan,2019,5347412.55,185780.46,1841206.74,1615684.03,311847.72,-2440453.84,6861477.66
Humbang Hasundutan,2019,3372082.92,102311.51,1028307.73,1411830.27,39054.67,-2324.2,5951262.9
Pakpak Bharat,2019,647130.87,11321.05,348271.64,366329.09,4827.07,-199664.47,1178215.25
Samosir,2019,2651859.09,104764.05,974093.99,635033.59,168499.41,-99528.89,4434721.24
Serdang Bedagai,2019,16391035.93,348010.27,2487961.39,7114794.13,503565.74,1114076.22,27959443.68
Batu Bara,2019,14091016.99,287567.13,1873835.03,6683979.07,624710.94,10486739.86,34047849.02
Padang Lawas Utara,2019,7070254.71,152700.39,1023510.34,2835625.37,59747.72,477893.16,11619731.69
Padang Lawas,2019,5462108.81,115652.62,877856.42,2674383.63,46858.66,2195126.36,11371986.51
Labuhan Batu Selatan,2019,12806249.82,142716.7,1087525.47,7422853.92,768599.16,4904358.78,27132303.86
Labuhan Batu Utara,2019,11506551.31,221734.6,1264628.92,6611170.97,524843.25,4249415.09,24378344.14
Nias Utara,2019,2723939.35,55969.02,740257.52,1098001.0,93779.57,-1195963.2,3515983.26
Nias Barat,2019,1461079.32,75026.84,452674.51,523959.42,70806.11,-766698.37,1816847.82
Kota Sibolga,2019,3295709.9,105760.75,684915.58,1044665.51,86895.35,313596.36,5531543.45
Kota Tanjung Balai,2019,4725045.66,119822.01,957728.34,2972914.2,256139.58,-80198.83,8951450.97
Kota Pematang Siantar,2019,8216713.03,381441.45,1537973.07,3562985.58,388624.15,-154487.79,13933249.49
Kota Tebing Tinggi,2019,4172534.36,21883.79,1115194.88,2209191.21,54720.14,-1649325.03,5924199.35
Kota Medan,2019,110402847.2,782590.55,9939389.57,101177700.7,1616096.34,17563725.55,241482349.9
Kota Binjai,2019,6860347.78,176259.2,679505.31,3762146.43,105917.37,115921.97,11700098.06
Kota Padangsidimpuan,2019,3942117.2,223187.13,1247343.83,2333096.26,69377.81,-1441995.94,6373126.29
Kota Gunungsitoli,2019,3740111.42,111349.8,526486.76,1599778.11,13388.73,-477198.16,5513916.66
Kepulauan Mentawai,2019,2484444.95,43841.1,841401.95,1434446.3,173.95,-139214.81,4665093.44
Pesisir Selatan,2019,7769709.4,166497.27,1741398.99,4255171.36,4901.54,99450.1,14037128.66
Solok,2019,7754387.42,124518.18,1543092.02,4314743.32,2597.12,-158825.04,13580513.02
Sijunjung,2019,5170944.66,76469.85,1015794.15,3072901.23,1796.94,-189027.87,9148878.97
