Indragiri Hulu;17225241.07;17280381.74;18031478.16;247988.62;255151.78;243411.31;1687822.43;1585508.35;1622704.02;16904986.53;16697983.68;17835112.43;348853.97;584372.7;123921.97;5177840.95;6046301.69;9880337.68;41592733.57;42449699.95;47736965.57
Indragiri Hilir;29034129.16;28900566.52;29850896.46;449864.49;453164.49;427440.94;1987594.78;1859739.7;1802725.01;15690403.24;15550875.54;16594831.2;53814.21;93699.59;172553.07;15482102.88;18185466.02;24503863.34;62697908.77;65043511.86;73352310.02
Pelalawan;14642204.93;14903824.92;15696220.94;191639.34;197807.65;192079.86;1367395.73;1272730.16;1278499.44;9039107.49;8989336.16;10066670.33;920299.5;1606932.07;62744.45;21571374.85;23710431.96;30322346.65;47732021.83;50681062.93;57618561.67
Siak;20547583.41;20686820.8;21821000.1;254568.95;266404.95;262458.52;2072467.35;1965546.78;2006169.95;20531225.09;20430647.3;22893261.9;623944.47;1118637.51;82455.27;38075343.37;32539160.93;42570787.05;82105132.65;77007218.27;89636132.79
Kampar;36330571.04;36541586.76;38614703.64;467539;474601.77;488161.05;2979112.69;2746194.72;2499036.72;27736712.18;28074553.89;30512882.06;1601286.57;1825865.63;147627.84;8151929.92;3338995.52;14193569.24;77267151.39;73001798.29;86455980.55
Rokan Hulu;23164347.94;23669449.85;25084636.03;326054.97;335040.16;329915.02;1590738.71;1451141.73;1328116.92;9092300.46;9021333.94;10029212.32;321937.83;556264.56;77785.88;-613119.72;1053772.78;5327794.25;33882260.19;36087003.01;42177460.42
Bengkalis;28520436.57;28780548.49;30014658.84;371038.07;380080.1;358646.67;3435469.3;3229845.71;3112404.52;24901356.05;24639481.58;27451611.29;154018.58;270104.52;224201.66;82996588.48;57283934.28;78451973.46;140378907.1;114583994.7;139613496.4
Rokan Hilir;24481975.23;24685084.14;25778640.42;383701.64;395970.4;380534.34;1952196.5;1822377.9;1734780.06;7891601.64;7878642.51;8675868.81;1150903.44;1993677.8;62242.96;38727739.29;31116609.96;43470562.98;74588117.75;67892362.7;80102629.57
Kepulauan Meranti;7172261.87;7184019.37;7473134.84;153337.59;158183.92;150372.43;644131.42;603313.87;574852.45;4600306.64;4582762.47;4956663.69;40679.34;74119.16;64398.62;5783828.44;5463788.41;7873664.82;18394545.3;18066187.19;21093086.85
Kota Pekanbaru;60793826.5;60753450.52;63807263.16;1325258.41;1329320.38;1268569.47;9650465.7;9134952.33;8894462.08;97854914.61;96579181.5;105192017.3;1262948.23;2319677.98;1037090.51;-52123521.39;-54629681.32;-53674148.06;118763892.1;115486901.4;126525254.5
Kota Dumai;12078379.44;12243569.55;12879908.44;169605.95;174918.49;172873.42;2276239.13;2151366.57;2238500.06;16317085.42;16210568.19;17019727.7;896054.55;1571734.11;154944.91;4409782.02;3961573.16;7480153.43;36147146.52;36313730.07;39946107.96
Kerinci;5539716.97;5576934.31;5852594.6;62440.32;62635.11;63868.68;1291890.29;1251291.57;1298084.2;1695832.3;2243379.74;2831976.73;68063.37;31324.29;47220.05;1254525.41;1294706.13;1144215.5;9912468.66;10460271.15;11237959.76
Merangin;9503651.64;9677640.28;10323647.04;57456.32;57739.65;59051.91;1222126.56;1208817.09;1237635.43;3786138.73;3795824.05;4118434.76;35345.85;51902.37;79413.49;683354.39;878957.46;2019163.29;15288073.47;15670880.89;17837345.92
Sarolangun;8376918.95;8402795.77;8853753.58;85203.6;85462.53;88769.71;1011591.56;984177.43;1010750.22;5672671.9;5711958.38;6188346.19;-52001.49;38816.74;58298.37;32535.62;-793786.6;359073.81;15126920.14;14429424.24;16558991.87
Batang Hari;8058427.94;8151036.47;8620098.26;67911.38;68550.04;72085.44;1156002.55;1138927.09;1186442.65;3834024.05;3864436.23;4177193.75;85651.72;72549.87;107685.48;3261275.83;3097304.61;4645753.71;16463293.47;16392804.31;18809259.29
Muaro Jambi;10370158.94;10563430.58;11231475.45;110114.77;111146.72;115743.28;1831447.1;1794930.35;1782033.79;4342821.03;4336269.59;4815319.65;479615.89;353566.35;694272.53;7160835.68;7223044.79;8919493.13;24294993.41;24382388.38;27558337.82
Tanjung Jabung Timur;6164293.54;6209013.18;6528378.97;90906.88;91217.51;92440.56;1295136.39;1268454.77;1304562.05;3619652.67;3616086.92;3907532.13;143162.69;140685.82;207063.27;13367148;8237808.72;9743683.68;24680300.18;19563266.92;21783660.67
Tanjung Jabung Barat;9791305.97;9782987.23;10429467.03;83657.5;84102.19;87741.83;1140172.87;1108242.41;1140857.69;5293779.4;5326057.47;5835301;347648.64;353678.89;483141.19;26288885.15;20478785.85;24104073.69;42945449.52;37133854.04;42080582.43
Tebo;8137493.1;8255833.54;8741879.63;99854.67;101389.07;104996.93;988284.25;960823.83;990500.84;3629353.9;3544010.13;3792453.98;63907.02;63864;107439.22;1674542.06;1812063.74;3212017.08;14593435.01;14737984.32;16949287.67
Bungo;9729471.07;9957433.59;10641863.45;105875.39;107055.88;111316.78;1206908.76;1196063.46;1223303.68;5850099.61;5676438.62;6048603.02;81467.37;125400.14;146771.12;922117.58;243361.56;1911029.74;17895939.78;17305753.26;20082887.79
Kota Jambi;17584801.26;17679415.85;18872455.8;482937.16;484446.38;507961.11;6626442.29;6495212.7;6684808.18;6855911.98;6862879.12;7475246.1;126902.24;139036.86;540471.77;-1040065.06;-2195841.08;-2162316.54;30636929.87;29465149.83;31918626.4
Kota Sungai Penuh;3287812.34;3358065.97;3553951.65;45101.01;46395.9;48822.54;519921.13;518707.13;536583.55;1968098.84;1891328.84;2067608.94;112278.15;110277.17;173304.09;1546212.89;1637473.3;1600587.94;7479424.37;7562248.32;7980858.72
Ogan Komering Ulu;10120386.25;10248208.55;10691239.59;228490.93;219089.6;231487.27;1736430.71;1222316.08;1269587.79;5629814.11;5796093.37;5825733.24;-17336.57;-65318.57;-19273.53;-3050112.82;-2605299.41;-2268517.39;14647672.61;14815089.63;15730256.98
Ogan Komering Ilir;18607780.11;18727709.02;19640108.41;470922.49;446015.4;470451.11;2350457.32;2203465.92;2323505.18;8715006.91;8873201.9;9358001.67;-223180.22;-174566.94;15170.15;-1168517.75;-783859.75;-571197.45;28752468.86;29291965.54;31236039.07
Muara Enim;35438709.44;35807627.04;37780569.04;1131270.11;1081425.31;1148006.77;2849274.09;2421960.76;2637962;15075116.6;15770486.34;15819221.26;-366214.95;-1057218.95;447047.09;3205355.15;3469272.69;11736861.92;57333510.43;57493553.19;69569668.07
Lahat;12828659.36;12995508.63;13553382.57;314982.09;305343.61;324999.7;3011361.71;2904279.61;3068779.89;5961259.92;6112306.06;6101370.8;-329474.92;-186317.46;-25706;-4656587.58;-4900549.16;-3387290.41;17130200.59;17230571.29;19635536.56
Musi Rawas;13699591.85;13719632.76;14203616.74;267694.07;251325.5;264658.57;1894022.46;1710629.19;1800432.57;5262754.81;5371208.52;5323041.14;117927.88;-225728.33;-290033.82;-2179206.77;-1589716.28;-889220.55;19062784.3;19237351.36;20412494.66
Musi Banyuasin;46313799.06;46515449.21;48869842.14;1299673.97;1232910.44;1298019.26;4181835.92;3997609.85;4274415.05;19790520.83;20523033.22;20456626.07;104528.92;-587561.69;35298.93;-5879363.62;-5737556.34;-2290476.77;65810995.08;65943884.71;72643724.68
Banyu Asin;19462097.19;19646544.92;20390580.95;414296.55;390988.56;408462.48;2303841.8;2034519.75;2144316.75;7917326.27;8216316.74;8275269.43;12117.65;50859.35;-8245.49;-1453938.69;-1238618.24;-217420.35;28655740.78;29100611.08;30992963.76
Ogan Komering Ulu Selatan;5882731.92;5911409.48;6122341.73;106419.3;105895.89;112030.35;1290253.71;1141299.93;1206549.45;2809465.74;2877065.25;2901215.07;53465.22;97035.2;107969.56;-1356628.66;-1160974.96;-919862.75;8785707.21;8971730.78;9530243.4
Ogan Komering Ulu Timur;10560536.91;10901923.72;11299012.54;179882.07;180050.44;191696.14;1765897.55;1540357.95;1626446.09;5002930.44;5189849.45;5217370.32;534.7;706.87;52878.17;-2573930.62;-2530347.94;-2143943.21;14935851.05;15282540.5;16243460.05
Ogan Ilir;6913660.07;7025849.61;7231981.57;158457.21;158200.57;167511.27;1660514.8;1432354.44;1516187.76;3189557.57;3307847.86;3281431.86;-438.04;843.12;-1162.25;-762347.92;-596618.89;-147128.94;11159403.69;11328476.71;12048821.28
